"","Group","TL","Biomass","PB","QB","EE","GE","Removals"
"1","Transient Killers",4.852641983015,0.000136055,0.02542091,11.15693,0,0.00227848610684122,0
"2","Sperm and Beaked Whales",4.67496079089918,0.04508845,0.0469,6.609423,0,0.00709592955391114,0
"3","Resident Killers",4.80022286389914,0.001359492,0.02542091,11.15693,0.0205500516895969,0.00227848610684122,0.0000007102
"4","Porpoises",4.64884424917768,0.01507433,0.05,30,0.0546090798239464,0.00166666666666667,0.0000002646
"5","Gray Whales",3.51884742596044,0.05543134,0.063365,8.87285,0.042838279831284,0.0071414483508681,0.0000000857
"6","Humpbacks",3.94332014538451,0.1783805,0.03770187,7.577205,0.0719566953180339,0.00497569618348718,0
"7","Fin Whales",3.73158019213192,0.2661022,0.026676,6.516856,0.10901651759597,0.00409338490830548,0.0000519494
"8","Sei whales",3.66595259263338,0.006333852,0.040015,8.787933,0.0677970930300694,0.00455340294469701,0
"9","Right whales",3.50176215995,0.003554814,0.032778,8,0.0827659280368786,0.00409725,0
"10","Minke whales",4.12698295490673,0.002362473,0.051141,7.781985,0.0530475009931394,0.00657171659929954,0
"11","Sea Otters",3.80476321922388,0.003451707,0.116863,73,0.0233041163659607,0.00160086301369863,0.0000000362
"12","N. Fur Seal_Juv",4.57978216677461,0.000294995,0.398865,84.09423,0.00680155221421962,0.00474307214656701,0
"13","N. Fur Seal",4.58106781643897,0.009042058,0.096588,39.03033,0.0282406766056017,0.00247469083658785,0.0000001339
"14","Steller Sea Lion_Juv",4.77502604575623,0.000278476,0.4940115,56.34433,0.034605405676451,0.00876772338938097,0.0000040052
"15","Steller Sea Lion",4.78495564573126,0.01593345,0.1097936,24.07415,0.0484681170861844,0.00456064284720333,0.0000415638
"16","Resident seals",4.63455288642328,0.003292146,0.082653,17.43908,0.225400491164823,0.0047395275438842,0.0000524015
"17","Shearwater",4.5367662945325,0.0002309,0.1,73,0.206281525784684,0.00136986301369863,0.0000003137
"18","Murres",4.46809817607409,0.004831768,0.1694877,72,0.121647424539566,0.00235399583333333,0.000006563
"19","Kittiwakes",4.41925436820683,0.000889335,0.07688104,110,0.268139702497064,0.000698918545454545,0.000001208
"20","Auklets",3.57590206268172,0.000299744,0.1694877,110,0.121656955387029,0.00154079727272727,0.0000004072
"21","Puffins",4.40690105827962,0.006484459,0.04,73,0.515441933280348,0.000547945205479452,0.0000088077
"22","Fulmars",4.61290064490086,0.000820895,0.055,73,0.374676653174038,0.000753424657534247,0.0000011151
"23","Storm Petrels",4.28241070237234,0.0002309,0.12,144,0.171901271487237,0.000833333333333333,0.0000003137
"24","Cormorants",4.48048183713463,0.000348881,0.1587271,73,0.130070092264159,0.00217434383561644,0.0000004739
"25","Gulls",4.46986882921111,0.000569231,0.1657822,73,0.124365599957405,0.00227098904109589,0.0000007731
"26","Albatross Jaeger",4.60529540974758,0.0002309,0.06756634,75,0.305302204891792,0.000900884533333333,0.0000003137
"27","Sleeper shark",4.79411712193193,0.01765032,0.1,3,0.842280818685185,0.0333333333333333,0.0013632204
"28","Salmon shark",4.99403128095436,0.03459453,0.1,6,0.135121708547565,0.0166666666666667,0.0004674472
"29","Dogfish",4.29280620915894,0.09010817,0.1,3,0.897135577246436,0.0333333333333333,0.0042887996
"30","W. Pollock_Juv",3.62031867786548,0.7959365,2.1,11.46551,0.924672160591849,0.183158010415586,0
"31","W. Pollock",3.69907121002008,5.5527,0.425,3.78,0.964062247871269,0.112433862433862,0.3428791805
"32","P. Cod_Juv",3.69454453651974,0.1304705,2.026288,8.414302,0.805466382575695,0.240814746131052,0
"33","P. Cod",4.10003410472032,1.390076,0.42,2.19,0.529280479104135,0.191780821917808,0.250827326
"34","Herring_Juv",3.5219638525,0.4331985,1.5,8.751529,0.978526748394291,0.171398620743872,0
"35","Herring",3.523926065775,0.9,0.32,3.52,0.791167503339603,0.0909090909090909,0.0555616555
"36","Arrowtooth_Juv",3.87584166174186,0.0698667,1.5,8.008333,0.600410538236071,0.187304898535063,0
"37","Arrowtooth",4.32449462490881,5.766471,0.26,1.44,0.233733805342043,0.180555555555556,0.0680760241
"38","P. Halibut_Juv",3.95879514028866,0.004207888,0.7,7.017456,0.861200165006729,0.099751248885636,0
"39","P. Halibut",4.48084197244743,1.519766,0.19,1.1,0.482143876780425,0.172727272727273,0.0983208095
"40","YF. Sole",3.57940983255372,0.237893,0.2,2,0.171768029364096,0.1,0.0002411828
"41","FH. Sole_Juv",3.70227031656527,0.09648249,1.1,5.839294,0.491134379697705,0.188378937590743,0
"42","FH. Sole",3.75060446877829,0.7394146,0.18,1.69,0.344931370703409,0.106508875739645,0.0072795898
"43","N. Rock sole",3.45557991487455,0.2096941,0.2,2,0.260168601717126,0.1,0.0063528122
"44","S. Rock sole",3.48885599238463,0.3520923,0.2,2,0.192152397796559,0.1,0.0063536315
"45","AK Plaice",3.51064117354033,0.0146662,0.2,2,0.142360497684582,0.1,0.0000050713
"46","Dover Sole",3.37093069351712,0.3184661,0.2,2,0.807772843865214,0.1,0.0256091258
"47","Rex Sole",3.53363086459615,0.3182535,0.2,2,0.664493655688079,0.1,0.0097408476
"48","Misc. Flatfish",3.47802234815847,0.1958289,0.2,2,0.532799306232905,0.1,0.0173456473
"49","Other skates",3.67650854272449,0.03580718,0.2,2,0.585678757729138,0.1,0.0028182272
"50","Longnose skate",4.72828664852747,0.04973756,0.2,2,0.722417953951034,0.1,0.0056677428
"51","Big skate",4.33979108458141,0.106,0.2,2,0.450510403028462,0.1,0.0063066895
"52","Sablefish_Juv",3.55574005650395,0.01901101,1.65,4.25037,0.218113535431482,0.38820149775196,0
"53","Sablefish",4.13724574888976,0.9314899,0.19,1.03,0.853049422080765,0.184466019417476,0.0621785219
"54","Eelpouts",3.56334996306541,1.06505723297298,0.4,2,0.8,0.2,0.000024269
"55","Grenadiers",4.08947671175562,0.9086657,0.15,2,0.317213621905451,0.075,0.0372728039
"56","Misc. fish deep",4.23229809681838,0.03049424,0.1850308,2,0.644127482454296,0.0925154,0.0015954883
"57","POP_Juv",3.5568578148375,0.02380418,1.1,6.380493,0.00714246317674371,0.172400471248852,0
"58","POP",3.56064489802629,0.8406927,0.09,1.99,0.470327013386525,0.0452261306532663,0.0157662019
"59","Sharpchin Rock",3.5295213338975,0.354017971994896,0.1,2,0.8,0.05,0.0228192777
"60","Northern Rock",3.52783965053385,0.3624517,0.1,2,0.646505318855301,0.05,0.0164411789
"61","Dusky Rock",3.95591053705947,0.1395475,0.1,2,0.891977481462477,0.05,0.0097568679
"62","Shortraker Rock",3.94494983874097,0.07740477,0.1,2,0.613531378565279,0.05,0.0032584041
"63","Rougheye Rock",3.90749716333635,0.1643666,0.1,2,0.394831358939732,0.05,0.0033282722
"64","Shortspine Thorns_Juv",3.6836383993619,0.000152009,1,4.14397,0.64914065182919,0.241314488280562,0
"65","Shortspine Thorns",3.90620086031557,0.06314901,0.13,0.44,0.817738291739547,0.295454545454545,0.0050403102
"66","Other Sebastes",3.81110360615568,0.0888839193780088,0.1,2,0.8,0.05,0.001370183
"67","Atka mackerel_Juv",3.5225,0.1601545,1.9,12.0775,0.333976061150849,0.157317325605465,0
"68","Atka mackerel",3.52626901423664,0.4544861,0.35,5.65,0.670195903851528,0.0619469026548672,0.0145696739
"69","Greenlings",4.24230234219543,0.01110793,0.4,2,0.343907671011533,0.2,0.000049734
"70","Lg. Sculpins",4.03998402544197,0.08888517,0.4,2,0.559270843598401,0.2,0.0044485824
"71","Other sculpins",3.87881046641929,0.859393807463094,0.4,2,0.8,0.2,0
"72","Misc. fish shallow",3.54905844319261,0.841549620926749,0.4,2,0.8,0.2,0.0012395109
"73","Octopi ",3.79825004637468,0.781757353644038,0.8,3.65,0.8,0.219178082191781,0.0003330625
"74","Squids",3.67915625,1.26514059975189,3.2,10.67,0.8,0.299906279287723,0.0003451067
"75","Salmon returning",3.82708125,0.8566338,1.815861,11.8269,0.478564819570476,0.153536514217589,0.3201908862
"76","Salmon outgoing",3.5125,0.01713268,1.641523,14.38647,0.103192029285696,0.114101860984661,0
"77","Bathylagidae",3.5225,0.0731404973676798,0.8,3.65,0.8,0.219178082191781,0
"78","Myctophidae",3.5225,0.636282938090062,0.8,3.65,0.8,0.219178082191781,0.0000000017
"79","Capelin",3.5225,6.71660932698945,0.8,3.65,0.8,0.219178082191781,0.000190602
"80","Sandlance",3.5225,2.37025367645287,0.8,3.65,0.8,0.219178082191781,0.0000004907
"81","Eulachon",3.5225,1.15533448895974,0.8,3.65,0.8,0.219178082191781,0.0002011471
"82","Oth. managed forage",3.5225,1.42728178740445,0.8,3.65,0.8,0.219178082191781,0.0000107097
"83","Oth. pelagic smelt",3.5225,0.63998727761974,0.8,3.65,0.8,0.219178082191781,0.000044399
"84","Bairdi",3.41102500463747,0.664471776133975,1,3,0.8,0.333333333333333,0.0036906221
"85","King Crab",3.41011994127531,0.006152222,0.6,3,0.906051377952524,0.2,0.0000785371
"86","Misc. crabs",3.13125046374675,1.722183,0.8200002,4.099998,0.799882688516085,0.200000146341535,0.0000802179
"87","Pandalidae",2.9075,10.6308267903567,0.576,2.41,0.8,0.239004149377593,0.0001982743
"88","NP shrimp",2.9075,12.4882642925264,0.576,2.41,0.8,0.239004149377593,0.0000054879
"89","Sea stars",3.53061650004637,0.09551849,1.21,6.05,0.491796546596915,0.2,0.0031157569
"90","Brittle stars",2.15,4.544021,1.21,6.05,0.201610641598599,0.2,0
"91","Urchins dollars cucumbers",2,1.630926,0.61,3.05,0.352890242496658,0.2,0.0000777368
"92","Snails",2.905,0.864358976678375,1.81,9.05,0.8,0.2,0.0000003274
"93","Hermit crabs",3.13125,3.4541003276291,0.82,4.1,0.8,0.2,0
"94","Misc. Crustacean",2.5,2.23441405247703,7.4,37,0.8,0.2,0
"95","Benthic Amphipods",2.5,6.16881966767078,7.4,37,0.8,0.2,0
"96","Anemones",2.525,0.08886787,1,5,0.00185250121241892,0.2,0.0000743198
"97","Corals",2.525,0.005190301,0.0460517,0.2302585,0.102459452384327,0.2,0.0000202308
"98","Hydroids",2.525,0.110344749217557,1,5,0.8,0.2,0
"99","Urochordata",2.525,0.2448,3.58,17.9,0.00934904755187912,0.2,0.000006744
"100","Sea Pens",2.525,0.000549388,0.09210341,0.46051705,0.200809098495759,0.2,0.0000070337
"101","Sponges",2.525,0.1075014,1,5,0.00264561730203038,0.2,0.0000210989
"102","Bivalves",2.525,14.6715366801376,1.3,6.5,0.8,0.2,0.000280681
"103","Polychaetes",2.5,4.20721909955698,2.97,14.85,0.8,0.2,0
"104","Misc. worms ",2.5,4.00878507952345,2.23,11.15,0.8,0.2,0
"105","Scyphozoid Jellies",3.40897893878037,0.11,0.88,3,0.48305329072474,0.293333333333333,0.0003371256
"106","Fish Larvae",2.525,0.00378243260712078,5.475,15.6428571428571,0.8,0.35,0
"107","Chaetognaths",2.90625,0.589620990722934,5.475,15.6428571428571,0.8,0.35,0
"108","Euphausiids",2.525,21.3880871112616,5.475,15.6428571428571,0.8,0.35,0
"109","Mysids",2.525,0.426717409347671,5.475,15.6428571428571,0.8,0.35,0
"110","Pelagic Amphipods",2.525,1.35653590088527,2.5,7.14285714285714,0.8,0.35,0
"111","Gelatinous filter feeders",2.525,0.977454252578642,5.475,15.6428571428571,0.8,0.35,0
"112","Pteropods",2.525,0.603388332103247,5.475,15.6428571428571,0.8,0.35,0
"113","Copepods",2.5,23.2585288271409,6,27.74,0.8,0.216294160057678,0
"114","Pelagic microbes",2,13.0256761111895,36.5,104.285714285714,0.8,0.35,0
"115","Benthic microbes",2,7.67944148800873,36.5,104.285714285714,0.8,0.35,0
"116","Macroalgae",1,0.877525678778458,4,0,0.8,0,0
"117","Lg Phytoplankton",1,7.86063,166.4806,0,0.268585195461685,0,0
"118","Sm Phytoplankton",1,27.65792,113.3781,0,0.366947078557827,0,0
"119","Outside Production",1,4,1,0,0,0,0
"120","Discards",1,0.528264630108485,0.5,0,0.0623848185108088,0,0
"121","Offal",1,0.823201840658803,0.5,0,0.610228638421173,0,0
"122","Pelagic Detritus",1,3946.2916496978,0.5,0,0.206531912675099,0,0
"123","Benthic Detritus",1,4110.3780982456,0.5,0,0.549092914024881,0,0
"124","Outside Detritus",1,2,0.5,0,0,0,0
"125","Halibut HookLine",5.42369754549156,0,0,0,0,0,0
"126","Crab Pots",4.41102200233713,0,0,0,0,0,0
